[	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	]
[	9.0909090909090922e-03	4.5454545454534480e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	1.8181818181818184e-02	9.0909090909068943e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	2.7272727272727271e-02	1.3636363636360341e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	3.6363636363636369e-02	1.8181818181813792e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	4.5454545454545456e-02	2.2727272727267239e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	5.4545454545454543e-02	2.7272727272720683e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	6.3636363636363644e-02	3.1818181818174134e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	7.2727272727272738e-02	3.6363636363627584e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	8.1818181818181832e-02	4.0909090909081028e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	9.0909090909090912e-02	4.5454545454534478e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	1.0000000000000001e-01	4.9999999999987922e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	1.0000000000000001e-01	4.9999999999987922e-02	0.0000000000000000e+00	0.0000000000000000e+00	]
[	1.0909090909090910e-01	5.4545357043348959e-02	-2.0839829524322003e-05	-9.1697458300930047e-03	]
[	1.1818181818181819e-01	5.9090290190339581e-02	-8.3357587856679752e-05	-1.8339491660186006e-02	]
[	1.2727272727272729e-01	6.3634600229718438e-02	-1.8754921455903359e-04	-2.7509237490279011e-02	]
[	1.3636363636363638e-01	6.8176997573019704e-02	-3.3337307366012074e-04	-3.6678983320372012e-02	]
[	1.4545454545454545e-01	7.2717304887884707e-02	-5.2081845904274808e-04	-4.5848729150464985e-02	]
[	1.5454545454545454e-01	7.7255522174313446e-02	-7.4988537070691660e-04	-5.5018474980557987e-02	]
[	1.6363636363636364e-01	8.1791649432305935e-02	-1.0205738086526261e-03	-6.4188220810650981e-02	]
[	1.7272727272727273e-01	8.6325686661862175e-02	-1.3328837728798760e-03	-7.3357966640743982e-02	]
[	1.8181818181818182e-01	9.0857633862982137e-02	-1.6868152633886667e-03	-8.2527712470836997e-02	]
[	1.9090909090909092e-01	9.5387491035665850e-02	-2.0823682801789987e-03	-9.1697458300929999e-02	]
[	2.0000000000000001e-01	9.9915258179913299e-02	-2.5195428232508707e-03	-1.0086720413102300e-01	]
[	2.0000000000000001e-01	9.9915258179913299e-02	-2.5195428232508707e-03	-1.0086720413102300e-01	]
[	2.0909090909090911e-01	1.0443987735829557e-01	-2.9538045313447451e-03	-9.0501494913729746e-02	]
[	2.1818181818181820e-01	1.0896835251659553e-01	-3.3411115203145444e-03	-8.0135785696436534e-02	]
[	2.2727272727272727e-01	1.1350043126051239e-01	-3.6814428851312904e-03	-6.9770076479143350e-02	]
[	2.3636363636363636e-01	1.1803611359004615e-01	-3.9747986257949860e-03	-5.9404367261850125e-02	]
[	2.4545454545454545e-01	1.2257539950519680e-01	-4.2211787423056292e-03	-4.9038658044556906e-02	]
[	2.5454545454545452e-01	1.2711715970621984e-01	-4.4205107943509981e-03	-3.8672948827263728e-02	]
[	2.6363636363636361e-01	1.3165943442308081e-01	-4.5726939907247601e-03	-2.8307239609970516e-02	]
[	2.7272727272727271e-01	1.3620286853164670e-01	-4.6777787949803034e-03	-1.7941530392677305e-02	]
[	2.8181818181818180e-01	1.4074746203191751e-01	-4.7357652071176263e-03	-7.5758211753840926e-03	]
[	2.9090909090909089e-01	1.4529321492389319e-01	-4.7466532271367304e-03	2.7898880419091193e-03	]
[	2.9999999999999999e-01	1.4984012720757375e-01	-4.7104428550376149e-03	1.3155597259202331e-02	]
[	2.9999999999999999e-01	1.4984012720757375e-01	-4.7104428550376149e-03	1.3155597259202331e-02	]
[	3.0909090909090908e-01	1.5438539382775116e-01	-4.6742034847363284e-03	2.7898880419130923e-03	]
[	3.1818181818181818e-01	1.5893038840959609e-01	-4.6850761110419125e-03	-7.5758211753761068e-03	]
[	3.2727272727272727e-01	1.6347485769779774e-01	-4.7430594490853722e-03	-1.7941530392665304e-02	]
[	3.3636363636363636e-01	1.6801880169235614e-01	-4.8481534988667075e-03	-2.8307239609954505e-02	]
[	3.4545454545454546e-01	1.7256222039327129e-01	-5.0003582603859184e-03	-3.8672948827243703e-02	]
[	3.5454545454545455e-01	1.7710398249633760e-01	-5.1996469697437276e-03	-4.9038658044532897e-02	]
[	3.6363636363636365e-01	1.8164212693603629e-01	-5.4459483564284188e-03	-5.9404367261822098e-02	]
[	3.7272727272727274e-01	1.8617730052977016e-01	-5.7392686414784932e-03	-6.9770076479111293e-02	]
[	3.8181818181818183e-01	1.9070950327753927e-01	-6.0796078248939508e-03	-8.0135785696400494e-02	]
[	3.9090909090909093e-01	1.9523873517934356e-01	-6.4669659066747898e-03	-9.0501494913689695e-02	]
[	4.0000000000000002e-01	1.9976499623518310e-01	-6.9013428868210129e-03	-1.0086720413097890e-01	]
[	4.0000000000000002e-01	1.9976499623518310e-01	-6.9013428868210129e-03	-1.0086720413097890e-01	]
[	4.0909090909090912e-01	2.0428487106179735e-01	-7.3824805929382283e-03	-1.1123291334827397e-01	]
[	4.1818181818181821e-01	2.0879911540724394e-01	-7.9103934196963245e-03	-1.2159862256556911e-01	]
