[	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	]
[	9.0909090909090922e-03	-4.0000000000000018e-04	0.0000000000000000e+00	0.0000000000000000e+00	]
[	1.8181818181818184e-02	-8.0000000000000036e-04	0.0000000000000000e+00	0.0000000000000000e+00	]
[	2.7272727272727271e-02	-1.2000000000000005e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	3.6363636363636369e-02	-1.6000000000000012e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	4.5454545454545456e-02	-2.0000000000000009e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	5.4545454545454543e-02	-2.4000000000000011e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	6.3636363636363644e-02	-2.8000000000000021e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	7.2727272727272738e-02	-3.2000000000000023e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	8.1818181818181832e-02	-3.6000000000000029e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	9.0909090909090912e-02	-4.0000000000000036e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	1.0000000000000001e-01	-4.4000000000000037e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	1.0000000000000001e-01	-4.4000000000000037e-03	0.0000000000000000e+00	0.0000000000000000e+00	]
[	1.0909090909090910e-01	-4.7799999288411299e-03	-1.6464888231716921e-07	8.6657329056608707e-04	]
[	1.1818181818181819e-01	-5.1599994188153151e-03	-6.5859521534593825e-07	1.7331465811321754e-03	]
[	1.2727272727272729e-01	-5.5399983976206204e-03	-1.4818389149105158e-06	2.5997198716982634e-03	]
[	1.3636363636363638e-01	-5.9199968652570469e-03	-2.6343799810109020e-06	3.4662931622643518e-03	]
[	1.4545454545454545e-01	-6.2999938563799655e-03	-4.1162156435186253e-06	4.3328664528304375e-03	]
[	1.5454545454545454e-01	-6.6799889269482217e-03	-5.9273435632469861e-06	5.1994397433965259e-03	]
[	1.6363636363636364e-01	-7.0599821587150101e-03	-8.0677638785707652e-06	6.0660130339626143e-03	]
[	1.7272727272727273e-01	-7.4399735516803307e-03	-1.0537476589489964e-05	6.9325863245287018e-03	]
[	1.8181818181818182e-01	-7.8199631058441833e-03	-1.3336481696004581e-05	7.7991596150947910e-03	]
[	1.9090909090909092e-01	-8.1999508212065673e-03	-1.6464779198114618e-05	8.6657329056608785e-03	]
[	2.0000000000000001e-01	-8.5799366977674842e-03	-1.9922369095820073e-05	9.5323061962269678e-03	]
[	2.0000000000000001e-01	-8.5799366977674842e-03	-1.9922369095820073e-05	9.5323061962269678e-03	]
[	2.0909090909090911e-01	-9.1707310432065647e-03	-2.5952214605073019e-05	1.0879657110943882e-02	]
[	2.1818181818181820e-01	-9.7615158419796563e-03	-3.2778050592591758e-05	1.2227008025660792e-02	]
[	2.2727272727272727e-01	-1.0352290537925506e-02	-4.0399870438769406e-05	1.3574358940377699e-02	]
[	2.3636363636363636e-01	-1.0943055131044118e-02	-4.8817674143606000e-05	1.4921709855094608e-02	]
[	2.4545454545454545e-01	-1.1533809621335493e-02	-5.8031461707101534e-05	1.6269060769811518e-02	]
